fold,test_year,model,daily_auc_v1,global_auc_v1,top_k_ret_v1,rank_corr_v1,daily_auc_v2,global_auc_v2,top_k_ret_v2,rank_corr_v2,daily_auc_delta_bps,global_auc_delta_bps,top_k_ret_delta_bps,rank_corr_delta_bps
1,2020,LR,0.5204178537511871,0.5265329235643329,0.0142727213084253,0.0309982874256598,0.5279908442301606,0.5339765460056691,0.0147622381346615,0.044822947975365,75.72990478973529,74.43622441336228,4.895168262361999,138.246605497052
1,2020,RF,0.5370735627145883,0.5354925870911942,0.0172790955994966,0.0485349296189191,0.5307424452723597,0.5258833777704025,0.0167989179717408,0.0371726192334506,-63.311174422285845,-96.09209320791679,-4.801776277558005,-113.62310385468498
1,2020,LGBM,0.5384006623322863,0.5392279764443954,0.0168319124695864,0.0477525571002393,0.5370492122628874,0.5312773034450078,0.0194393530131893,0.0505400105942805,-13.514500693989628,-79.50672999387565,26.074405436029014,27.87453494041206
2,2021,LR,0.5303437820920338,0.5454265580688744,0.006853639130384,0.0260145868699242,0.5168956917208666,0.5303774275773351,0.0031301639720148,0.0131748099350218,-134.4809037116723,-150.4913049153933,-37.234751583692,-128.397769349024
2,2021,RF,0.5124455963616803,0.5225119618288433,0.0037907596349166,0.016931154504159,0.4899995109785319,0.5008841791047189,0.0010916696419663,-0.0130380521143516,-224.46085383148406,-216.27782724124356,-26.990899929503,-299.692066185106
2,2021,LGBM,0.4903173749327595,0.4915404337903327,0.0025948122209761,-0.0170400037728118,0.5205633527311849,0.5310056281925322,0.0055076426792629,0.0314858461176394,302.4597779842542,394.6519440219948,29.128304582868005,485.258498904512
3,2022,LR,0.5144982690466252,0.5244629286848841,-0.0039948558559243,0.0147815970070489,0.5073780353065384,0.5212339143996921,-0.0044362389501539,0.0076749237457354,-71.20233740086857,-32.290142851919555,-4.413830942296007,-71.066732613135
3,2022,RF,0.4742566721500651,0.4888792829520169,-0.0009395132314679,-0.0298854051708461,0.4675783839524663,0.482135793014632,-0.0054656745626488,-0.0351138533665325,-66.78288197598803,-67.43489937384884,-45.261613311809,-52.28448195686398
3,2022,LGBM,0.4698249404601143,0.4726232157518438,-0.0070014997752416,-0.0414750000578551,0.4942915367428613,0.5019624195509862,-0.0006854013497334,-0.0106115997427552,244.66596282747,293.392037991424,63.160984255082,308.634003150999
4,2023,LR,0.5503944773175543,0.5536142956936226,0.0137097300472454,0.0631455795177946,0.5486932938856015,0.550271716798159,0.0142666579970659,0.0626817074047439,-17.01183431952802,-33.425788954636324,5.569279498205005,-4.638721130507117
4,2023,RF,0.5099605522682445,0.5137496918145956,0.0099552059224471,0.0154558802400186,0.5148422090729783,0.5180471318211702,0.0094986278188854,0.0189083299591461,48.81656804733736,42.97440006574615,-4.565781035617,34.524497191275
4,2023,LGBM,0.5165927021696253,0.517251088921762,0.012295878203468,0.0367483319326871,0.4969428007889546,0.4989223783694937,0.0062023366962102,-0.0030933146061566,-196.49901380670687,-183.28710552268257,-60.93541507257801,-398.416465388437
5,2024,LR,0.5225194386033547,0.5209903371782815,0.003753245272748,0.024664990660403,0.5255758227786199,0.5210975379587759,0.0044820908983484,0.030469705540064,30.563841752652145,1.0720078049442083,7.288456256004001,58.047148796609996
5,2024,RF,0.4807081030857255,0.4812333970138975,0.00124654960721,-0.0269039070463244,0.4958922196684435,0.4929882000332211,0.0006058538718396,-0.0085280410317628,151.8411658271801,117.54803019323579,-6.406957353704,183.758660145616
5,2024,LGBM,0.4710743801652892,0.4670775895202295,-0.0010230358129183,-0.0333795154877759,0.5072864198738324,0.5087182221927642,0.0010222308627497,0.0108680667176261,362.120397085432,416.40632672534707,20.452666756680003,442.47582205402
6,2025,LR,0.477120315581854,0.4747307486850756,0.0056092024631805,-0.0276337303253553,0.4748274161735699,0.4745804569362262,0.0060487056123138,-0.0358523876779783,-22.928994082841434,-1.50291748849396,4.395031491333003,-82.18657352622998
6,2025,RF,0.5437376725838264,0.5443854783037476,0.008873143085007,0.0546255296407985,0.5475591715976331,0.5486369986850756,0.0099061015567191,0.0608733824483719,38.21499013806684,42.51520381328034,10.329584717121005,62.47852807573402
6,2025,LGBM,0.5745931952662722,0.5756481139053253,0.0172841608370844,0.0944981192582566,0.5292406311637081,0.5282203320184089,0.0082441938396897,0.0382904849155755,-453.52564102564054,-474.2778188691643,-90.39966997394701,-562.076343426811
7,2026,LR,0.2837122391778262,0.2951040010490255,-0.0396736334104204,-0.3091220131309093,0.2634693241980692,0.2766149256667049,-0.050391288875151,-0.3330602521600687,-202.42914979756998,-184.89075382320584,-107.176554647306,-239.3823902915937
7,2026,RF,0.4855185300529429,0.4736842105263157,0.0019333025045126,-0.0553703965153247,0.4886328246652133,0.4866659017522005,-0.0094926382420124,-0.0476743839875013,31.142946122704185,129.81691225884774,-114.25940746525,76.96012527823405
7,2026,LGBM,0.3802553721582062,0.3832221475520005,-0.0175145331925798,-0.1627851804043108,0.4674556213017751,0.4670458456948975,-0.0161889328006677,-0.0947153633318983,872.0024914356889,838.2369814289698,13.256003919121031,680.6981707241251
