feature,bucket
ret_1d,base
ret_5d,base
ret_10d,base
ret_21d,base
mom_63d,base
rsi_14d,base
position_in_range_20d,base
ret_1d_lag1,base
ret_1d_lag2,base
ret_1d_lag3,base
macd_signal,base
macd_hist,base
bb_pctb_20d,base
stoch_k_14d,base
adx_14d,base
price_sma20,base
price_sma50,base
sma_cross_5_20,base
price_sma200,base
mom_accel_5d,base
trend_strength_21d,base
mean_rev_5d,base
vol_ma_ratio_20d,base
dollar_volume_21d,base
abnormal_volume,base
vol_5d,base
vol_10d,base
vol_21d,base
vol_63d,base
atr_norm_14d,base
gk_vol_20d,base
vol_skew_21d,base
skew_21d,base
amihud_illiq_21d,base
turnover_21d,base
downside_vol_21d,base
max_dd_21d,base
rolling_beta_63d,base
resid_ret_21d,base
idio_vol_21d,base
rel_strength_21d,base
rel_strength_63d,base
cs_ret_zscore_1d,base
cs_vol_zscore_21d,base
cs_mom_zscore_63d,base
overnight_gap,base
close_position,base
mom_quality,base
zspread,macro_interaction
zspread_ma5,macro_interaction
zspread_change_5d,macro_interaction
p_high_x_mom_63d,macro_interaction
p_high_x_vol_21d,macro_interaction
stress_reversal,macro_interaction
beta_regime,macro_interaction
spread_momentum,macro_interaction
dispersion_adjusted_vol,macro_interaction
cs_mom_x_yield,macro_interaction
market_breadth_200d,raw_date_context
market_dispersion_21d,raw_date_context
p_high_vol,raw_date_context
vix_ret_1d,raw_date_context
vix_vxn_spread,raw_date_context
vxn_ma5_ma21,raw_date_context
vxn_ret_1d,raw_date_context
vxn_ret_5d,raw_date_context
vxn_zscore,raw_date_context
yield_spread_10y2y,raw_date_context
yield_spread_change_5d,raw_date_context
yield_spread_zscore,raw_date_context
