ticker,rebalances_held,pct_of_rebalances,sector
NVDA,94,63.51351351351351,Technology
AMD,81,54.729729729729726,Technology
TSLA,81,54.729729729729726,Consumer Discretionary
MELI,77,52.02702702702703,Consumer Discretionary
LRCX,55,37.16216216216216,Technology
AMAT,49,33.108108108108105,Technology
WBD,47,31.756756756756754,Communication Services
META,45,30.405405405405407,Communication Services
KLAC,41,27.7027027027027,Technology
MU,41,27.7027027027027,Technology
AAPL,40,27.027027027027028,Technology
NFLX,39,26.351351351351347,Communication Services
AMZN,39,26.351351351351347,Consumer Discretionary
DXCM,38,25.675675675675674,Health Care
JD,37,25.0,Consumer Discretionary
MCHP,37,25.0,Technology
SNPS,35,23.64864864864865,Technology
MSFT,32,21.62162162162162,Technology
QCOM,30,20.27027027027027,Technology
ADBE,30,20.27027027027027,Technology
FTNT,29,19.594594594594593,Technology
IDXX,28,18.91891891891892,Health Care
INTC,27,18.243243243243242,Technology
CDNS,27,18.243243243243242,Technology
PYPL,25,16.89189189189189,Financials
AVGO,23,15.54054054054054,Technology
BIIB,21,14.18918918918919,Health Care
XEL,19,12.837837837837837,Utilities
LULU,18,12.162162162162163,Consumer Discretionary
PAYX,18,12.162162162162163,Industrials
INTU,17,11.486486486486488,Technology
ORCL,15,10.135135135135135,Technology
CTAS,14,9.45945945945946,Industrials
CRM,13,8.783783783783784,Technology
KHC,13,8.783783783783784,Consumer Staples
KDP,12,8.108108108108109,Consumer Staples
ILMN,11,7.4324324324324325,Health Care
VRSK,10,6.756756756756757,Industrials
MNST,10,6.756756756756757,Consumer Staples
DLTR,10,6.756756756756757,Consumer Discretionary
GOOGL,10,6.756756756756757,Communication Services
PCAR,9,6.081081081081082,Industrials
EA,9,6.081081081081082,Communication Services
COST,9,6.081081081081082,Consumer Staples
ADI,8,5.405405405405405,Technology
WDAY,8,5.405405405405405,Technology
ODFL,8,5.405405405405405,Industrials
FAST,8,5.405405405405405,Industrials
AZN,8,5.405405405405405,Health Care
ROST,7,4.72972972972973,Consumer Discretionary
CHTR,7,4.72972972972973,Communication Services
EBAY,7,4.72972972972973,Consumer Discretionary
PANW,6,4.054054054054054,Technology
AMGN,6,4.054054054054054,Health Care
TMUS,5,3.3783783783783785,Communication Services
GILD,5,3.3783783783783785,Health Care
HON,5,3.3783783783783785,Industrials
CMCSA,4,2.7027027027027026,Communication Services
SBUX,4,2.7027027027027026,Consumer Staples
BKNG,3,2.027027027027027,Consumer Discretionary
VRTX,3,2.027027027027027,Health Care
CSX,2,1.3513513513513513,Industrials
ADP,2,1.3513513513513513,Industrials
REGN,2,1.3513513513513513,Health Care
PEP,2,1.3513513513513513,Consumer Staples
MDLZ,2,1.3513513513513513,Consumer Staples
TXN,2,1.3513513513513513,Technology
ISRG,1,0.6756756756756757,Health Care
