year_end,year,strategy,annual_return
2020-12-31,2020,BH_Full,0.431122298439641
2020-12-31,2020,BH_MCap10,1.0531990077088906
2020-12-31,2020,BH_QQQ,0.4125085481571693
2020-12-31,2020,ML_Full_CW,1.0194591975255265
2020-12-31,2020,ML_Full_EW,0.9868268130417088
2021-12-31,2021,BH_Full,0.2855155267468321
2021-12-31,2021,BH_MCap10,0.4060695320152931
2021-12-31,2021,BH_QQQ,0.2741975401568617
2021-12-31,2021,ML_Full_CW,0.2030956913976835
2021-12-31,2021,ML_Full_EW,0.1808064851950508
2022-12-31,2022,BH_Full,-0.2578015489835658
2022-12-31,2022,BH_MCap10,-0.5207131455024829
2022-12-31,2022,BH_QQQ,-0.3257699488538587
2022-12-31,2022,ML_Full_CW,-0.1463264694212321
2022-12-31,2022,ML_Full_EW,-0.1494958715538689
2023-12-31,2023,BH_Full,0.4448535717522737
2023-12-31,2023,BH_MCap10,1.0544370200331254
2023-12-31,2023,BH_QQQ,0.5485555256235348
2023-12-31,2023,ML_Full_CW,0.6573987893840008
2023-12-31,2023,ML_Full_EW,0.6161675378141864
2024-12-31,2024,BH_Full,0.2418529505227979
2024-12-31,2024,BH_MCap10,0.7375464703834935
2024-12-31,2024,BH_QQQ,0.2557827114657092
2024-12-31,2024,ML_Full_CW,0.1392125609499259
2024-12-31,2024,ML_Full_EW,0.1551002106356007
2025-12-31,2025,BH_Full,0.2179295532793679
2025-12-31,2025,BH_MCap10,0.2524123614753446
2025-12-31,2025,BH_QQQ,0.2077254115077635
2025-12-31,2025,ML_Full_CW,0.5306674294846059
2025-12-31,2025,ML_Full_EW,0.4247012575322781
2026-12-31,2026,BH_Full,0.0196004969910554
2026-12-31,2026,BH_MCap10,-0.0653010819847822
2026-12-31,2026,BH_QQQ,-0.0114274714539532
2026-12-31,2026,ML_Full_CW,0.002172730355503
2026-12-31,2026,ML_Full_EW,0.0242737320168742
