year,strategy,equity_usd,multiple
Start,BH_Full,10000.0,1.0
2020,BH_Full,14438.845965672648,1.4438845965672649
2021,BH_Full,18571.78433601889,1.8571784336018888
2022,BH_Full,13762.919772264468,1.3762919772264468
2023,BH_Full,19906.45850896363,1.9906458508963631
2024,BH_Full,24730.9562145178,2.47309562145178
2025,BH_Full,30135.429609641076,3.0135429609641076
2026,BH_Full,30882.60307277526,3.0882603072775257
Start,BH_MCap10,10000.0,1.0
2020,BH_MCap10,20829.28575412276,2.082928575412276
2021,BH_MCap10,29312.095371858028,2.931209537185803
2022,BH_MCap10,14030.926835450515,1.4030926835450515
2023,BH_MCap10,28811.273906724116,2.8811273906724115
2024,BH_MCap10,50024.377994482056,5.002437799448206
2025,BH_MCap10,62627.20969792833,6.262720969792833
2026,BH_MCap10,60069.329676579975,6.006932967657997
Start,BH_QQQ,10000.0,1.0
2020,BH_QQQ,14194.990378825123,1.4194990378825123
2021,BH_QQQ,18087.22182324932,1.8087221823249322
2022,BH_QQQ,12194.94849498099,1.219494849498099
2023,BH_QQQ,18884.55487659723,1.888455487659723
2024,BH_QQQ,23714.89752775624,2.371489752775624
2025,BH_QQQ,28641.084375573853,2.8641084375573853
2026,BH_QQQ,28404.70563564218,2.8404705635642182
Start,ML_Full_CW,10000.0,1.0
2020,ML_Full_CW,20133.943312345953,2.013394331234595
2021,ML_Full_CW,24138.83399442701,2.413883399442701
2022,ML_Full_CW,20487.41736614932,2.048741736614932
2023,ML_Full_CW,33733.37667947532,3.3733376679475318
2024,ML_Full_CW,38103.89461461641,3.8103894614616407
2025,ML_Full_CW,57919.05853518602,5.791905853518602
2026,ML_Full_CW,57983.89133661764,5.798389133661765
Start,ML_Full_EW,10000.0,1.0
2020,ML_Full_EW,19789.898447801843,1.9789898447801844
2021,ML_Full_EW,23273.176771688566,2.3273176771688564
2022,ML_Full_EW,19645.97034166402,1.9645970341664019
2023,ML_Full_EW,31453.36692546982,3.1453366925469823
2024,ML_Full_EW,35948.106815618914,3.594810681561891
2025,ML_Full_EW,50737.798182147024,5.073779818214702
2026,ML_Full_EW,51922.119316964876,5.192211931696487
